z,x,y
1,0.2112524604,0.0915901902
1,0.2132353368,0.092042361
1,0.2152435878,0.0924970464
1,0.2172758418,0.092954475
1,0.2193316416,0.0934137324
1,0.2214130446,0.0938755044
1,0.2235207366,0.0943400196
1,0.225654489,0.0948070494
1,0.2278152162,0.0952765938
1,0.230003604,0.0957484242
1,0.232218738,0.0962229978
1,0.234461304,0.0966998574
1,0.236731302,0.0971794602
1,0.239031018,0.0976611204
1,0.241358166,0.0981455238
1,0.243715032,0.0986324418
1,0.246103902,0.0991216458
1,0.248520204,0.099613593
1,0.25096851,0.1001080548
1,0.253451106,0.1006050312
1,0.25596342,0.1011045222
1,0.258507738,0.1016065278
1,0.26108406,0.102111048
1,0.263694672,0.1026180828
1,0.266339574,0.1031276322
1,0.269018766,0.1036394676
1,0.271732248,0.1041538176
1,0.274484592,0.1046709108
1,0.27726894,0.1051900614
1,0.28009215,0.1057117266
1,0.282951936,0.1062359064
1,0.285850584,0.1067623722
1,0.288785808,0.1072913526
1,0.291759894,0.107822619
1,0.294777414,0.1083564
1,0.29783151,0.1088926956
1,0.30092904,0.1094315058
1,0.304065432,0.109972602
1,0.307247544,0.1105162128
1,0.310470804,0.1110623382
1,0.313739784,0.1116107496
1,0.317049912,0.1121612184
1,0.32040576,0.1127137446
1,0.323809614,0.1132680996
1,0.327254616,0.1138242834
1,0.33074991,0.1143825246
1,0.334290924,0.1149419088
1,0.337879944,0.1155028932
1,0.34151697,0.1160650206
1,0.345202002,0.1166287482
1,0.348939612,0.1171943046
1,0.350528341995,0.1174320867
